"stage","size","mage","nonmage","within_tier_def","cor_tier_wr"
"1v1",1,0.31518771043771,0.570104086845466,0.157464561462843,0.602765404332908
"2v2",2,0.396690909090909,0.538623243933589,0.0790015652557319,0.559674333330052
"3v3",3,0.424610437710438,0.529035440613027,0.0496933666025333,0.551964019554769
"4v4",4,0.441828114478114,0.521983077905492,0.0358122473995912,0.521743843692085
"5v5",5,0.450869696969697,0.518905044699872,0.0282853968755011,0.512136939123189
"6v6",6,0.451144612794613,0.519324010217114,0.0341879714556277,0.48973401041053
"7v7",7,0.461203703703704,0.516518071519796,0.0205035654411175,0.484334008721739
"8v8",8,0.461490572390572,0.51530625798212,0.0185734607233045,0.457916221762677
"9v9",9,0.465672053872054,0.512726947637292,0.0211269845278179,0.362762764120778
"10v10",10,0.470079124579125,0.511680523627075,0.00874750232984609,0.430028509531724
