"stage","size","level","win_rate","wr_delta","timeout"
"2v2",2,1,0.366111805555556,0.0126001388888889,0.129787777777778
"2v2",2,2,0.472960833333333,0.0233604166666667,0.146169166666667
"2v2",2,3,0.668616805555556,-0.0435051388888889,0.176670138888889
"3v3",3,1,0.395770555555556,0.0104827777777778,0.17990375
"3v3",3,2,0.450928611111111,0.0174495833333333,0.166958472222222
"3v3",3,3,0.649015416666667,-0.035365,0.220915277777778
"4v4",4,1,0.38285875,0.0289136111111111,0.213799583333333
"4v4",4,2,0.469574861111111,0.0120926388888889,0.212957638888889
"4v4",4,3,0.636357282913165,-0.014874649859944,0.210101120448179
"5v5",5,1,0.395145798319328,0.0192943977591036,0.271096918767507
"5v5",5,2,0.515765555555556,-0.00486444444444444,0.274125694444444
"5v5",5,3,0.564317385057471,-0.0204261494252874,0.293594252873563
"6v6",6,1,0.431710310734463,0.0209474576271186,0.272594774011299
"6v6",6,2,0.468033050847458,-0.00537146892655367,0.272947740112994
"6v6",6,3,0.60638781512605,-0.0103841736694678,0.307763305322129
"7v7",7,1,0.418086182336182,0.0192242165242165,0.359176210826211
"7v7",7,2,0.469519607843137,-0.0105134453781513,0.365518907563025
"7v7",7,3,0.585056022408964,-0.010674649859944,0.384649579831933
"8v8",8,1,0.443420977011494,0.00826077586206897,0.425705028735632
"8v8",8,2,0.500021848739496,0.0326250700280112,0.351389215686275
"8v8",8,3,0.563743162393162,-0.0357088319088319,0.419672222222222
"9v9",9,1,0.442143977591036,0.0338413165266106,0.405553221288515
"9v9",9,2,0.495687994350282,-0.00746906779661017,0.425636440677966
"9v9",9,3,0.565804700854701,-0.0140059829059829,0.423689031339031
"10v10",10,1,0.455527586206897,0.00782686781609195,0.443459195402299
"10v10",10,2,0.470148994252874,0.00113189655172414,0.43946566091954
"10v10",10,3,0.555646327683616,-0.0142274011299435,0.441659745762712
