"name","affinity","role","tier","n_ctx","tot_matches","wd_pooled","wd_sd","wd_range","noise_sd","excess_sd"
"Company Captain","clear","support",5,54,1998,-0.0615663163163163,0.104847491281251,0.4147,0.0832178909314767,0.0216296003497744
"Storm Eagle","thunder","spellslinger",9,54,2088,0.0593885536398467,0.0661285408573008,0.3119,0.0545322979190657,0.0115962429382352
"Hierarch","clear","support",8,54,1968,-0.163869054878049,0.0931332503450752,0.3527,0.0819785667249663,0.0111546836201089
"Hierarch","clear","support",8,54,2076,0.0358829479768786,0.0918065973560272,0.4927,0.0816555802948013,0.0101510170612259
"Mournhollow, the Pale Stag","mist","mage",10,54,2394,0.041563074352548,0.0514541357435738,0.218,0.0438946513698073,0.00755948437376641
"Company Guard","clear","tank",4,54,2580,-0.0618204263565892,0.0803660319445716,0.3584,0.0731858777850301,0.00718015415954142
"Glade Heron","rain","marksman",8,54,2202,0.0458655313351499,0.0621915243510142,0.2484,0.0552583880699949,0.00693313628101923
"Aegis Tortoise","clear","tank",5,54,2070,-0.0294699516908213,0.0878825496162395,0.3299,0.0812259876286871,0.00665656198755249
"Thunderhoof Colt","thunder","spellblade",2,54,2334,0.0152030419880034,0.0814336500002135,0.3046,0.0753772863073945,0.00605636369281901
"Cliffeyrie Eagle","cloudy","spellslinger",9,54,1722,-0.0688185830429733,0.0810418763195194,0.2841,0.0787213110032832,0.0023205653162362
"Reedbank Otter","rain","swashbuckler",2,54,2526,-0.0227606492478226,0.0754985828010201,0.3211,0.073425835398295,0.00207274740272509
"Veilfang Wolf","mist","swashbuckler",8,54,2166,0.0609481994459834,0.0594336484092976,0.3417,0.0576173691364274,0.00181627927287014
"Flood Tyrant","rain","mage",10,54,2802,-0.03319289793005,0.0524877239604507,0.2742,0.0510184079850262,0.00146931597542444
"Coral Colossus","rain","tank",5,54,2484,0.0301891304347826,0.0740005589441226,0.29,0.0735076967286567,0.000492862215465947
"Glacierback Mammoth","snow","bruiser",7,54,2898,0.00380655624568668,0.068107295884779,0.2804,0.0683979965701107,-0.000290700685331755
"Voltaic Diviner","thunder","marksman",5,54,2424,-0.0895278465346535,0.075107644232097,0.3728,0.0756795997569928,-0.000571955524895779
"Umbra, the Mountain's Shadow","cloudy","marksman",10,54,2196,0.0286869307832423,0.0541145921811938,0.2857,0.0548840400480116,-0.000769447866817846
"Shaftmaw","cloudy","assassin",5,54,2628,-0.0283541095890411,0.0708852975269605,0.2912,0.0717743461095124,-0.000889048582551968
"Sundered Lord","mist","spellblade",9,54,2976,-0.0524193212365591,0.0569213576258926,0.2899,0.0599883377827786,-0.00306698015688594
"Riptide Caiman","rain","assassin",9,54,2130,0.0345,0.0638154163310273,0.3234,0.0675831786972958,-0.00376776236626845
"Shroud-Killer","mist","swashbuckler",7,54,2028,-0.0308218441814596,0.074477560797058,0.3262,0.0782747829364912,-0.00379722213943323
"Nerei, the Floodmother","rain","mage",10,54,2472,0.0095003640776699,0.0448964193982832,0.2456,0.0490332063308461,-0.00413678693256288
"Glacier Goliath","snow","tank",7,54,2394,0.000634711779448621,0.0705000328997687,0.236,0.0756921635999039,-0.00519213070013516
"Frostquill Porcupine","snow","marksman",9,54,2178,0.0188215794306703,0.073999522452008,0.2778,0.0792956765710009,-0.00529615411899288
"Hollowed Wisp","mist","assassin",3,54,2118,-0.0167680358829084,0.0736403784487056,0.3163,0.0791185543495602,-0.00547817590085459
"Drained Stalker","mist","spellslinger",4,54,2328,-0.0146054553264605,0.0683476828263462,0.3145,0.073995091919412,-0.00564740909306582
"Grand Marshal","clear","swashbuckler",10,54,2754,0.0194223311546841,0.0385002098318042,0.1632,0.0445379307038316,-0.00603772087202741
"Voltmane Jackal","thunder","spellslinger",7,54,2604,-0.0695137864823349,0.0638393877854477,0.2738,0.0700925538421893,-0.0062531660567416
"Iceclaw Lynx","snow","swashbuckler",6,54,2358,0.0926697201017812,0.0610941168220755,0.3234,0.067369737887025,-0.00627562106494953
"Spymaster","clear","assassin",8,54,2394,-0.0632894319131161,0.0609274432647969,0.2446,0.0672276344061164,-0.00630019114131948
"Frost Sovereign","snow","spellblade",10,54,2172,0.0115080570902394,0.0710538102089692,0.2957,0.0774483231375955,-0.00639451292862635
