"tier","stage","win_rate","wr_delta","mean_duration_ticks"
1,"1v1",0.214090909090909,-0.0637757575757576,7785.54393939394
2,"1v1",0.20917,-0.113883333333333,6492.78
3,"1v1",0.329521428571429,-0.0418916666666667,6203.4130952381
4,"1v1",0.266795238095238,-0.155359523809524,8144.81904761905
5,"1v1",0.406363095238095,-0.068022619047619,7207.55357142857
6,"1v1",0.552188333333333,0.0250833333333333,6930.40833333333
7,"1v1",0.662141025641026,0.0828923076923077,8104.5358974359
8,"1v1",0.699114814814815,0.0692425925925926,6183.83333333333
9,"1v1",0.809208974358974,0.131155128205128,6196.44871794872
10,"1v1",0.881177777777778,0.158151388888889,6500.6125
1,"2v2",0.313471212121212,-0.0844393939393939,7685.14393939394
2,"2v2",0.309455,-0.105878333333333,7164.735
3,"2v2",0.376683333333333,-0.0551261904761905,7039.98928571429
4,"2v2",0.347279761904762,-0.103008333333333,7918.99761904762
5,"2v2",0.423775,-0.0523238095238095,7564.22738095238
6,"2v2",0.516211666666667,0.0134466666666667,7403.575
7,"2v2",0.594544871794872,0.0612538461538462,8229.78076923077
8,"2v2",0.618140740740741,0.0518907407407407,7072.29814814815
9,"2v2",0.722946153846154,0.124278205128205,7019.66666666667
10,"2v2",0.804794444444444,0.167065277777778,7143.32083333333
1,"3v3",0.361413636363636,-0.0755484848484849,8180.52424242424
2,"3v3",0.342331666666667,-0.102063333333333,7827.86166666667
3,"3v3",0.399015476190476,-0.0567488095238095,7782.84047619048
4,"3v3",0.389020238095238,-0.0784559523809524,8341.225
5,"3v3",0.445870238095238,-0.035975,8094.70119047619
6,"3v3",0.496741666666667,-0.000148333333333334,8038.73166666667
7,"3v3",0.562646153846154,0.0455051282051282,8577.96794871795
8,"3v3",0.578294444444444,0.0371648148148148,7764.7537037037
9,"3v3",0.681408974358974,0.113635897435897,7745.73076923077
10,"3v3",0.756390277777778,0.159872222222222,7860.71527777778
