"stage","size","level","win_rate","wr_delta","timeout","n_pieces"
"2v2",2,1,0.358942916666667,0.0192670833333333,0.127166805555556,120
"2v2",2,2,0.462498194444444,0.0158858333333333,0.140156111111111,120
"2v2",2,3,0.672091111111111,-0.0341529166666667,0.188006111111111,120
"3v3",3,1,0.398523888888889,0.0128159722222222,0.186359444444444,120
"3v3",3,2,0.457688888888889,0.0163859722222222,0.198330416666667,120
"3v3",3,3,0.644772638888889,-0.03371,0.236980694444444,120
"4v4",4,1,0.415442916666667,0.0128577777777778,0.214357083333333,120
"4v4",4,2,0.455527777777778,0.0122176388888889,0.226782777777778,120
"4v4",4,3,0.630929444444444,-0.0245481944444444,0.242419722222222,120
"5v5",5,1,0.416800972222222,0.0177991666666667,0.239001527777778,120
"5v5",5,2,0.465385277777778,0.00929375,0.260705694444444,120
"5v5",5,3,0.615105694444444,-0.0285890277777778,0.282390694444444,120
"6v6",6,1,0.425381111111111,0.0106997222222222,0.274346527777778,120
"6v6",6,2,0.471185138888889,0.00926777777777778,0.283789166666667,120
"6v6",6,3,0.605157777777778,-0.0180429166666667,0.312518472222222,120
"7v7",7,1,0.437852083333333,0.0136480555555556,0.334908472222222,120
"7v7",7,2,0.477649166666667,0.00823166666666667,0.341492916666667,120
"7v7",7,3,0.588418611111111,-0.0229756944444444,0.358287361111111,120
"8v8",8,1,0.443488888888889,0.00697027777777778,0.334058888888889,120
"8v8",8,2,0.476073194444444,0.0122304166666667,0.34110875,120
"8v8",8,3,0.578563472222222,-0.0189856944444444,0.366596388888889,120
