"stage","size","level","win_rate","wr_delta","timeout"
"2v2",2,1,0.36519875,0.0209041666666667,0.104290138888889
"2v2",2,2,0.45071625,0.01481875,0.108667361111111
"2v2",2,3,0.687545277777778,-0.0343072222222222,0.116372638888889
"3v3",3,1,0.394118611111111,0.0117356944444444,0.0985608333333333
"3v3",3,2,0.460975694444444,0.0174608333333333,0.10724375
"3v3",3,3,0.64672875,-0.0276972222222222,0.114372638888889
"4v4",4,1,0.407333611111111,0.0108825,0.0848313888888889
"4v4",4,2,0.460055555555556,0.0143972222222222,0.0865841666666667
"4v4",4,3,0.63360125,-0.0228904166666667,0.0892348611111111
"5v5",5,1,0.422804722222222,0.0155956944444444,0.0854052777777778
"5v5",5,2,0.464974722222222,0.00731,0.0917643055555556
"5v5",5,3,0.614683055555556,-0.0203820833333333,0.0938826388888889
"6v6",6,1,0.419086527777778,0.0107052777777778,0.0863056944444444
"6v6",6,2,0.464318611111111,0.00513097222222222,0.0893119444444444
"6v6",6,3,0.620554027777778,-0.0113459722222222,0.0923684722222222
"7v7",7,1,0.429479166666667,0.00975097222222222,0.0887240277777778
"7v7",7,2,0.476688472222222,0.00345222222222222,0.093995
"7v7",7,3,0.599479305555556,-0.0133236111111111,0.0869608333333333
"8v8",8,1,0.441733472222222,0.00826569444444444,0.0910904166666667
"8v8",8,2,0.477148472222222,0.00849027777777778,0.0878872222222222
"8v8",8,3,0.584065972222222,-0.0147134722222222,0.0883513888888889
"9v9",9,1,0.443553055555556,0.0150926388888889,0.0973479166666667
"9v9",9,2,0.472645,0.00193583333333333,0.0921230555555556
"9v9",9,3,0.586081111111111,-0.0146716666666667,0.0965169444444444
"10v10",10,1,0.450593055555556,0.00408236111111111,0.0810551388888889
"10v10",10,2,0.462365277777778,0.00824986111111111,0.0832931944444444
"10v10",10,3,0.588282916666667,-0.0133806944444444,0.09041625
